Route 1,Route 2,Difference Raw,Difference Score
nava0,elli3,1.4e-05,1.4e-05
evan4,harv1,-5.1e-05,5.1e-05
colu2,eldi4,5.2e-05,5.2e-05
bros5,chal5,7.1e-05,7.1e-05
lind2,gray3,9.1e-05,9.1e-05
evan1,eldi3,-9.5e-05,9.5e-05
harv3,harv3,0.000115,0.000115
kitc2,elbe1,-0.000124,0.000124
ante1,pikeeast,0.000152,0.000152
pike1,elbe3,-0.000181,0.000181
cnee3,cast3,0.000182,0.000182
cnee3,linc3,-0.000191,0.000191
cast2,shav4,-0.00021,0.00021
demo2,lind2,0.000226,0.000226
demo1,pikeeast,0.00023,0.00023
holy1,cast2,0.000237,0.000237
evan3,cpea2,0.000245,0.000245
elbe1,gray8,-0.000255,0.000255
bros5,suns2,0.000301,0.000301
pyra1,bier3,-0.000335,0.000335
evan3,long1,0.000336,0.000336
bros5,elbe3,-0.000345,0.000345
blan1,huro2,-0.000366,0.000366
elli3,harv3,-0.000372,0.000372
humb1,demo1,0.000376,0.000376
belf1,bros6,-0.000387,0.000387
demo1,cast1,-0.000417,0.000417
huro2,gray8,0.000436,0.000436
bier1,kitc3,0.000437,0.000437
capi1,eldi4,0.000469,0.000469
harv1,belf1,0.000486,0.000486
colu2,mwil7,0.000488,0.000488
humb1,bros3,-0.000491,0.000491
chal5,bros2,0.000504,0.000504
conu1,colu2,0.000513,0.000513
elli2,huro2,0.000581,0.000581
chal1,snow1,0.000595,0.000595
miss2,chib1,-0.000596,0.000596
harv1,harv4,0.0006,0.0006
cast1,snow1,0.000608,0.000608
gray1,mass1,0.000646,0.000646
quan2,bier4,-0.000697,0.000697
chal5,snef2,-0.000707,0.000707
gray3,lind2,-0.000769,0.000769
bier1,bier1,0.000803,0.000803
kitc2,eldi4,-0.000821,0.000821
bier1,quan1,-0.000826,0.000826
miss3,cast1,0.000827,0.000827
elbe1,linc2,-0.000852,0.000852
gray3,como0,-0.00086,0.00086
lapl1,cnee1,0.000867,0.000867
hand1,harv4,-0.00087,0.00087
evan4,eldi4,-0.000878,0.000878
bros4,cast2,-0.000901,0.000901
shav1,bier4,-0.000925,0.000925
